Date_Order_was_placed;Order_Sum;Quantity_Ordered_Sum;profit_Per_day;Total_Retail_Price_for_This_Order_Sum
21-Feb-17;1;1;104.25;207.3
28-May-17;1;1;30.85;54.5
24-Jun-17;1;2;59.5;102.0
04-Jul-17;1;1;18.150002;29.7
27-Aug-17;1;1;23.800001;41.7
17-Oct-17;1;1;51.449997;88.2
05-Dec-17;1;6;206.1;411.6
16-Jan-18;1;2;26.900002;54.2
02-Mar-18;1;1;38.850006;167.8
09-Mar-18;1;1;15.099999;25.3
26-Apr-18;1;1;9.8;18.1
17-May-18;1;1;6.8;13.8
22-Jul-18;1;3;151.35;286.2
29-Jul-18;1;3;62.399998;112.5
03-Aug-18;1;2;52.300003;109.8
02-Dec-18;1;4;183.0;361.6
20-Dec-18;1;2;9.200001;15.8
30-Dec-18;2;3;55.85;177.6
03-Jan-19;1;1;56.65;102.5
10-Jan-19;2;4;429.00003;853.0
25-Feb-19;1;1;6.45;11.9
27-Apr-19;1;1;14.250001;24.7
04-Jun-19;1;2;120.6;230.2
07-Jun-19;1;2;56.500004;107.8
23-Jun-19;1;3;23.82;56.97
25-Jun-19;1;1;157.99998;302.3
28-Jun-19;1;2;12.700001;23.2
29-Jun-19;1;2;45.3;91.0
01-Jul-19;1;2;18.6;31.6
23-Jul-19;1;2;40.5;69.6
17-Aug-19;1;2;141.0;259.0
19-Aug-19;1;2;89.50001;155.6
21-Aug-19;1;2;74.100006;148.6
24-Sep-19;1;1;12.9;23.4
08-Oct-19;1;1;34.050003;56.9
01-Nov-19;1;1;67.45;122.7
02-Nov-19;1;2;19.400002;28.2
13-Nov-19;1;1;8.85;15.0
23-Nov-19;1;2;39.399998;79.2
28-Nov-19;1;1;19.25;33.3
03-Dec-19;1;2;17.900002;30.6
04-Dec-19;1;2;8.0;17.6
17-Dec-19;1;2;11.4;23.0
23-Dec-19;1;2;35.600002;59.4
27-Dec-19;1;2;580.4;1222.4
28-Dec-19;1;2;135.99998;271.8
31-Dec-19;1;2;4.0;6.8
05-Jan-20;1;1;32.15;55.0
10-Feb-20;1;1;39.300003;78.8
18-Feb-20;1;1;30.949999;59.1
25-Feb-20;1;2;137.2;252.4
10-Mar-20;1;1;9.250001;18.7
12-Mar-20;1;1;0.9;1.5
21-Mar-20;1;2;66.6;115.6
30-Mar-20;1;1;24.350002;48.9
16-Apr-20;1;3;53.399994;91.2
17-Apr-20;1;1;22.6;37.5
18-Apr-20;2;3;38.149998;78.6
27-Apr-20;1;1;26.15;49.8
28-Apr-20;1;1;7.25;12.2
05-May-20;1;1;1.9000001;3.7
06-May-20;2;4;78.84999;145.3
09-May-20;1;2;2.3999999;4.2
26-May-20;1;1;29.2;51.0
05-Jun-20;1;2;25.099998;44.6
15-Jun-20;3;6;296.80002;543.8
20-Jun-20;1;2;74.4;134.0
25-Jun-20;1;5;129.25;258.0
30-Jun-20;2;5;70.55;253.5
05-Jul-20;1;1;77.75;133.5
06-Jul-20;1;1;15.9;24.5
11-Jul-20;1;2;23.7;43.4
02-Aug-20;1;2;21.400002;39.2
06-Aug-20;1;1;14.25;25.5
07-Aug-20;1;2;28.000002;56.4
09-Aug-20;1;2;58.2;111.0
11-Aug-20;1;2;9.6;15.8
14-Aug-20;1;2;69.100006;138.6
16-Aug-20;1;2;50.1;88.0
27-Aug-20;1;1;124.25001;208.6
30-Aug-20;1;2;19.18;63.98
03-Sep-20;1;1;9.1;15.5
12-Sep-20;1;1;109.55;196.0
19-Sep-20;1;1;9.7;16.9
28-Sep-20;1;2;5.8999996;11.4
29-Sep-20;1;1;195.65001;390.7
02-Oct-20;1;1;13.5;22.5
08-Oct-20;1;1;32.149998;61.1
10-Oct-20;1;1;41.199997;82.6
19-Oct-20;2;2;23.45;45.0
23-Oct-20;1;1;172.95001;297.1
26-Oct-20;1;1;21.0;32.7
05-Nov-20;1;1;16.15;32.5
08-Nov-20;2;2;50.900005;89.8
09-Nov-20;1;2;40.899998;70.6
10-Nov-20;1;2;51.700005;103.8
14-Nov-20;1;1;56.85;104.5
19-Nov-20;1;2;41.6;75.0
21-Nov-20;1;1;41.3;79.0
23-Nov-20;1;1;186.54999;357.9
26-Nov-20;1;1;18.850002;36.4
01-Dec-20;1;2;89.3;163.6
02-Dec-20;1;4;115.799995;232.4
05-Dec-20;1;2;26.800001;48.2
15-Dec-20;1;2;10.380001;59.98
17-Dec-20;1;2;110.2;210.4
19-Dec-20;1;2;57.6;111.0
